system_index,Name,altitudeMo,classification,descriptio,extrude,icon,tessellate,visibility,geo
20191016T050759_20191016T052144_T44QLJ_00000000000000000002_0,seasonal_2,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.78322409206811,21.504777030887272]}"
20191016T050759_20191016T052144_T44QLJ_00000000000000000002_1,seasonal_2,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.78351367057115,21.504779140613596]}"
20191016T050759_20191016T052144_T44QLJ_00000000000000000002_2,seasonal_2,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.78380324910961,21.504781249838043]}"
20191016T050759_20191016T052144_T44QLJ_00000000000000000002_3,seasonal_2,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.78409282768347,21.504783358560612]}"
20191016T050759_20191016T052144_T44QLJ_00000000000000000002_4,seasonal_2,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.78438240629272,21.5047854667813]}"
20191016T050759_20191016T052144_T44QLJ_00000000000000000002_5,seasonal_2,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.78322634674589,21.504506039067937]}"
20191016T050759_20191016T052144_T44QLJ_00000000000000000002_6,seasonal_2,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.78351592471266,21.5045081487651]}"
20191016T050759_20191016T052144_T44QLJ_00000000000000000002_7,seasonal_2,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.78380550271486,21.50451025796039]}"
20191016T050759_20191016T052144_T44QLJ_00000000000000000002_8,seasonal_2,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.78409508075245,21.504512366653806]}"
20191016T050759_20191016T052144_T44QLJ_00000000000000000002_9,seasonal_2,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.78438465882543,21.504514474845347]}"
20191016T050759_20191016T052144_T44QLJ_00000000000000000002_10,seasonal_2,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.78322860138823,21.504235047239593]}"
20191016T050759_20191016T052144_T44QLJ_00000000000000000002_11,seasonal_2,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.78351817881875,21.50423715690759]}"
20191016T050759_20191016T052144_T44QLJ_00000000000000000002_12,seasonal_2,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.78380775628469,21.504239266073718]}"
20191016T050759_20191016T052144_T44QLJ_00000000000000000002_13,seasonal_2,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.78409733378602,21.504241374737983]}"
20191016T050759_20191016T052144_T44QLJ_00000000000000000002_14,seasonal_2,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.78352043288945,21.503966165041067]}"
