district_name,min_lon,min_lat,max_lon,max_lat
Bongaigaon,90.345993,26.143785,90.860008,26.534525
Cachar,92.423637,24.376369,93.263329,25.14547
Chirang,90.3535,26.403704,90.959023,26.795094
Darrang,91.745613,26.19891,92.383316,26.677294
Dhemaji,94.211113,27.286104,95.519447,27.881788
Dhubri,89.694839,25.47286,90.479843,26.413813
Dibrugarh,94.569336,27.09874,95.490997,27.712631
Dima Hasao,92.524666,24.970949,93.478218,25.826078
Goalpara,90.118332,25.884319,91.097496,26.227987
Golaghat,93.286697,25.81435,94.179993,26.93288
Hailakandi,92.418221,24.13475,92.781067,24.880341
Jorhat,93.958519,26.35331,94.604683,27.18565
Kamrup Metropolitan,91.630203,25.999531,92.178307,26.255039
Kamrup,90.935631,25.723419,91.821442,26.55603
Karbi Anglong,92.149567,25.532013,93.897102,26.614931
Karimganj,92.212891,24.249329,92.588966,24.92005
Kokrajhar,89.761963,26.29693,90.643204,26.904701
Lakhimpur,93.69828,26.826271,94.598137,27.523491
Morigaon,91.953392,26.06254,92.567413,26.51869
Nagaon,92.404053,25.716028,93.320702,26.70109
Nalbari,91.21463,26.137081,91.595406,26.582209
Sivasagar,94.400787,26.71863,95.373459,27.279051
Sonitpur,92.32238,26.497202,93.788872,27.038521
Tinsukia,95.220657,27.229521,96.020912,27.977371
Udalguri,91.701683,26.481625,92.364433,26.93557
Araria,87.031532,25.9424,87.690918,26.586956
Arwal,84.440163,25.053782,84.875237,25.316471
Aurangabad,83.99221,24.4814,84.74675,25.129593
Banka,86.481018,24.538679,87.173843,25.121969
Begusarai,85.728363,25.249908,86.508827,25.77676
Bhagalpur,86.632576,25.058002,87.547447,25.51433
Bhojpur,84.267349,25.162411,84.845612,25.739111
Buxar,83.761932,25.26343,84.388527,25.74869
Darbhanga,85.664833,25.86735,86.399643,26.449291
Gaya,84.285263,24.287041,85.390457,25.073973
Gopalganj,83.900841,26.206791,84.901863,26.64286
Jamui,85.82019,24.368441,86.61158,25.14423
Jehanabad,84.849182,24.981281,85.212021,25.321503
Kaimur,83.316071,24.54174,83.892181,25.410601
Katihar,87.198776,25.199261,88.072853,25.881481
Khagaria,86.27372,25.253778,86.8535,25.729301
Kishanganj,87.598732,25.931351,88.291916,26.557268
Lakhisarai,85.880669,24.975512,86.425072,25.340801
Madhepura,86.601517,25.44383,87.109276,26.120449
Madhubani,85.744347,26.044809,86.717216,26.666422
Munger,86.299042,24.94532,86.729042,25.49972
Muzaffarpur,84.868149,25.902201,85.74633,26.39497
Nalanda,85.157646,24.96629,85.918388,25.46174
Nawada,85.262978,24.524549,86.050583,25.113161
Pashchim Champaran,83.828331,26.585272,84.754463,27.521515
Patna,84.678368,25.202351,86.060242,25.732809
Purba Champaran,84.478088,26.2568,85.289406,27.021044
Purnia,86.983856,25.43317,87.860252,26.125641
Rohtas,83.493202,24.50495,84.457756,25.37561
Saharsa,86.303719,25.595961,86.86982,26.079069
Samastipur,85.52523,25.464022,86.409943,26.091341
Saran,84.402397,25.625021,85.194397,26.222721
Sheikhpura,85.596863,24.973148,85.958527,25.277811
Sheohar,85.172783,26.32671,85.468506,26.64691
Sitamarhi,85.230698,26.2719,87.267212,27.850716
Siwan,84.002113,25.889669,84.774132,26.376362
Supaul,86.389587,25.998857,87.104843,26.556597
Vaishali,85.061333,25.48535,85.630447,26.016478
Chandigarh,76.690628,30.669319,76.836296,30.79904
Baloda Bazar,81.653099,21.259062,82.977226,21.882563
Balod,80.798431,20.37505,81.513092,21.005821
Balrampur,82.689003,23.146002,84.070251,24.106981
Bastar,81.167656,18.595091,82.239563,19.54653
Bemetara,81.133743,21.33143,81.935417,22.02392
Bijapur,80.239563,18.13253,81.226036,19.400921
Bilaspur,81.722816,21.70924,83.015068,23.116817
Dantewada,81.106079,18.381401,81.76857,19.292351
Dhamtari,81.404678,20.041719,82.167206,21.023651
Durg,81.085587,20.770748,81.617523,21.542299
Gariaband,81.909737,19.771049,82.717506,20.94722
Janjgir-Champa,82.30162,21.67551,83.313652,22.257841
Jashpur,83.386917,22.28949,84.389648,23.244541
Kabeerdham,80.818443,21.70146,81.55661,22.52433
Kondagaon,81.285942,19.21678,82.05983,20.19109
Korba,82.130913,22.035803,83.117142,22.99733
Koriya,81.569733,22.93759,82.752136,23.925598
Mahasamund,81.984047,20.82122,83.274803,21.54789
Mungeli,81.476593,21.813869,82.031113,22.67621
Narayanpur,80.655891,19.220772,81.508308,19.945938
Raigarh,82.91935,21.33894,83.798027,22.789831
Raipur,81.527527,20.778881,82.186829,21.62225
Rajnandgaon,80.382957,20.109833,81.21019,21.832621
Sukma,80.908417,17.782831,81.954529,18.74745
Surajpur,82.49128,22.795858,83.350998,23.919531
Surguja,82.751991,22.62458,83.68367,23.26853
Uttar Bastar Kanker,80.394707,19.69075,81.809372,20.55307
Dadra and Nagar Haveli,72.92231,20.05162,73.229156,20.36071
Daman,72.821251,20.36676,72.903305,20.470961
Diu,70.892082,20.69875,70.997643,20.736488
North Goa,73.679306,15.267851,74.287277,15.797529
South Goa,73.760696,14.895659,74.341652,15.48952
Ahmadabad,71.62027,22.012079,72.850357,23.505932
Amreli,70.787178,20.813749,71.710121,22.038622
Anand,72.35173,22.197359,73.236702,22.73642
Aravalli,72.979568,23.059441,73.660736,23.911169
Banas Kantha,71.268646,23.82567,73.034073,24.70579
Bharuch,72.502083,21.41927,73.511223,22.247921
Bhavnagar,71.493347,20.995138,72.391533,22.320181
Botad,71.40551,21.68667,71.894531,22.34911
Chhota Udaipur,73.487961,21.87034,74.294182,22.57255
Dahod,73.57682,22.453703,74.47892,23.192051
Devbhumi Dwarka,68.935974,21.78311,69.953369,22.53264
Gandhinagar,72.344658,22.992811,73.03717,23.429729
Gir Somnath,70.255966,20.690142,70.902786,21.183821
Jamnagar,69.75264,21.688671,70.677826,22.9659
Junagadh,69.965973,20.708191,71.255676,21.670931
Kachchh,68.186249,22.727917,71.72731,24.680651
Kheda,72.516266,22.498711,73.581017,23.289049
Mahesana,71.967216,23.038651,72.870293,24.093012
Mahisagar,73.380386,22.980343,74.139481,23.4589
Morbi,70.463066,22.374008,71.371338,23.204008
Narmada,73.30732,21.395769,73.991493,21.9811
Navsari,72.723198,20.58131,73.506996,21.06966
Panch Mahals,73.356888,22.285191,73.934227,23.109221
Patan,71.045868,23.39735,72.534653,24.139231
Porbandar,69.396202,21.207361,70.169296,21.967529
Rajkot,70.05172,21.5187,71.519661,22.65206
Sabar Kantha,72.730087,23.23884,73.424683,24.494728
Surat,72.578751,20.814741,73.706833,21.56473
Surendranagar,70.997673,22.11792,72.197639,23.52903
Tapi,73.206703,20.81319,74.335518,21.567322
The Dangs,73.4748,20.56234,73.949532,21.011961
Vadodara,72.873917,21.82015,73.571556,22.80986
Valsad,72.73764,20.120798,73.50074,20.744864
Ambala,76.532532,30.126961,77.310699,30.63656
Bhiwani,75.467079,28.3867,76.455513,29.08569
Faridabad,77.065567,27.87521,77.542366,28.511089
Fatehabad,75.212242,29.25194,75.951233,29.82539
Gurgaon,76.636482,28.204981,77.232216,28.54278
Hisar,75.254753,28.902981,76.30764,29.58337
Jhajjar,76.275513,28.32983,76.954597,28.867121
Jind,75.925293,29.064381,76.745049,29.845301
Kaithal,76.16629,29.518904,76.743881,30.20229
Karnal,76.481941,29.44565,77.211128,29.995491
Kurukshetra,76.412498,29.861851,77.27314,30.25304
Mahendragarh,75.889,27.807461,76.388359,28.47193
Mewat,76.846481,27.65597,77.329247,28.33901
Palwal,77.168686,27.85199,77.537338,28.278818
Panchkula,76.762543,30.524691,77.162361,30.93038
Panipat,76.62468,29.16856,77.154213,29.495131
Rewari,76.299469,27.970541,76.85434,28.433821
Rohtak,76.209152,28.685831,76.892776,29.10885
Sirsa,74.465263,29.22677,75.292297,29.992573
Sonipat,76.465561,28.817661,77.221497,29.29468
Yamunanagar,77.061493,30.046753,77.592018,30.46567
Bilaspur,76.37925,31.21298,76.913681,31.60183
Chamba,75.787422,32.18111,76.866562,33.20953
Hamirpur,76.286316,31.42161,76.71505,31.8985
Kangra,75.578758,31.688711,77.064201,32.472309
Kinnaur,77.735153,31.10384,78.996696,32.093559
Kullu,76.922867,31.345518,77.852997,32.41853
Lahul & Spiti,76.358322,31.75099,78.651062,33.255711
Mandi,76.606163,31.23221,77.376106,32.07708
Shimla,76.978523,30.768669,78.298363,31.718901
Sirmaur,77.004707,30.38452,77.812202,31.02647
Solan,76.589317,30.751591,77.238098,31.370413
Una,75.921829,31.304661,76.46492,31.86536
Anantnag,75.054901,33.362129,75.578476,34.244766
Badgam,74.401024,33.685757,74.884293,34.107471
Bandipore,74.503113,34.296162,75.377823,34.7701
Baramulla,73.883217,33.912117,74.731789,34.511265
Doda,75.280136,32.87315,76.24025,33.43351
Ganderbal,74.632004,34.16457,75.492821,34.453205
Jammu,74.316139,32.479153,75.155617,33.061581
Kargil,75.321495,32.818909,77.550705,34.733055
Kathua,75.082626,32.27533,75.925438,32.893322
Kishtwar,75.391968,33.028572,76.808456,34.20475
Kulgam,74.503807,33.460876,75.195137,33.820675
Kupwara,73.763222,34.239079,74.577156,34.803444
Leh (Ladakh),76.32872,32.34277,79.564293,35.501331
Poonch,73.956253,33.425686,74.571648,34.005337
Pulwama,74.822189,33.834949,75.231155,34.107067
Rajouri,74.011017,32.976826,74.677185,33.585812
Ramban,74.996445,33.108715,75.321777,33.584202
Reasi,74.511665,32.888081,75.0802,33.513054
Samba,74.835327,32.447769,75.335503,32.778919
Shupiyan,74.560928,33.640831,75.07132,33.897766
Srinagar,74.653854,34.022831,75.139847,34.229061
Udhampur,74.944321,32.6362,75.681717,33.238857
Bokaro,85.576759,23.419189,86.466423,23.967491
Chatra,84.437408,23.67725,85.345093,24.529491
Deoghar,86.452209,24.043051,87.065613,24.619761
Dhanbad,86.108521,23.628361,86.819771,24.05827
Dumka,86.879257,23.97813,87.696678,24.64307
Garhwa,83.323563,23.56304,84.062286,24.53756
Giridih,85.663193,23.885971,86.569748,24.779541
Godda,87.044403,24.500311,87.51725,25.227518
Gumla,84.029091,22.70635,85.009773,23.608061
Hazaribagh,85.011139,23.662849,85.92804,24.545662
Jamtara,86.46492,23.794371,87.294548,24.167641
Khunti,84.936073,22.567869,85.619392,23.283821
Kodarma,85.442131,24.285696,85.904572,24.822651
Latehar,83.965828,23.32349,84.958702,24.04771
Lohardaga,84.388451,23.278433,84.938492,23.67544
Pakur,87.384338,24.235399,87.913406,24.826982
Palamu,83.805611,23.74152,84.581047,24.638033
Pashchimi Singhbhum,84.97982,21.966591,86.043289,22.88257
Purbi Singhbhum,86.061829,22.207981,86.888603,23.013283
Ramgarh,85.197456,23.418812,85.883148,23.937963
Ranchi,84.862602,22.881361,85.895859,23.71406
Sahibganj,87.449196,24.713528,87.973343,25.348391
Saraikela-kharsawan,85.508667,22.478619,86.240463,23.152479
Simdega,83.999443,22.33732,85.074783,22.833401
Bagalkot,74.996552,15.810402,76.333183,16.76561
Bangalore Rural,77.175308,12.855851,77.956947,13.4924
Bangalore,77.32222,12.648252,77.8256,13.223282
Belgaum,74.096527,15.356191,75.462067,16.954773
Bellary,75.664612,14.55628,77.165253,15.82949
Bidar,76.690552,17.58083,77.653397,18.45512
Bijapur,75.336327,16.146603,76.468826,17.47751
Chamrajnagar,76.396408,11.57448,77.768448,12.304211
Chikballapura,77.355232,13.209131,78.198982,13.950552
Chikmagalur,75.080719,12.909962,76.359787,13.89451
Chitradurga,76.02285,13.56902,77.02002,15.030131
Dakshina Kannada,74.774582,12.455022,75.669853,13.17878
Davanagere,75.400337,13.69688,76.530411,14.92444
Dharwad,74.731392,15.03473,75.55732,15.69926
Gadag,75.276321,14.939622,76.045349,15.884162
Gulbarga,76.066551,16.70643,77.687996,17.768312
Hassan,75.553787,12.505981,76.628967,13.541759
Haveri,75.020126,14.271121,75.819183,15.15629
Kodagu,75.365601,11.923302,76.183083,12.82756
Kolar,77.831657,12.75259,78.577469,13.587221
Koppal,75.772377,15.13325,76.810593,16.006891
Mandya,76.32618,12.21063,77.324242,13.047239
Mysore,75.906799,11.730501,77.125786,12.649642
Raichur,76.234268,15.542161,77.592278,16.55735
Ramanagara,77.064087,12.235771,77.625206,13.18706
Shimoga,74.630379,13.455401,75.734268,14.65013
Tumkur,76.341896,12.73804,77.510353,14.337741
Udupi,74.584305,12.979879,75.199707,13.981022
Uttara Kannada,74.054306,13.92255,75.108261,15.5228
Yadgir,76.292946,16.18788,77.471756,16.95085
Alappuzha,76.270866,9.09984,76.679253,9.889862
Ernakulam,76.16597,9.792561,76.827263,10.294331
Idukki,76.618019,9.2624,77.396233,10.346281
Kannur,75.172173,11.6687,75.931618,12.29538
Kasaragod,74.866531,12.04986,75.430397,12.790811
Kollam,76.472359,8.75291,77.247047,9.16364
Kottayam,76.36792,9.393142,76.971718,9.850161
Kozhikode,75.529861,11.125417,76.137367,11.79761
Malappuram,75.825142,10.67963,76.540756,11.51868
Palakkad,76.01886,10.32679,76.897507,11.231331
Pathanamthitta,76.462547,9.060511,77.26783,9.48307
Thiruvananthapuram,76.676628,8.29747,77.26516,8.852271
Thrissur,75.957077,10.167251,76.891823,10.776742
Wayanad,75.772186,11.442712,76.435577,11.970639
Lakshadweep,72.100136,8.265971,73.702637,11.706251
Agar Malwa,75.684479,23.54858,76.409706,24.331511
Alirajpur,74.034668,21.9254,74.748703,22.647661
Anuppur,81.531097,22.877081,82.189987,23.42351
Ashoknagar,77.47007,24.23572,78.269852,25.011131
Balaghat,79.505821,21.319172,81.040436,22.398609
Barwani,74.435547,21.37249,75.630676,22.136341
Betul,77.05619,21.35907,78.541641,22.40481
Bhind,78.204079,25.91028,79.133743,26.800213
Bhopal,77.165367,23.093081,77.646011,23.90015
Burhanpur,75.948318,21.07531,76.791801,21.600073
Chhatarpur,78.981987,24.102631,80.423698,25.428711
Chhindwara,78.244186,21.46438,79.40271,22.817633
Damoh,79.050423,23.150301,79.949318,24.4496
Datia,78.208527,25.55195,78.887192,26.294971
Dewas,75.898689,22.295231,77.124397,23.325203
Dhar,74.474579,22.02199,75.713936,23.139681
Dindori,80.472893,22.24057,81.731827,23.373081
East Nimar,76.023201,21.54323,77.218697,22.418291
Guna,76.800667,23.889641,77.73037,25.119261
Gwalior,77.66156,25.716091,78.643799,26.352671
Harda,76.779617,21.90786,77.499207,22.587961
Hoshangabad,77.203438,22.220242,78.691582,22.9883
Indore,75.423218,22.335623,76.243896,23.09339
Jabalpur,79.345123,22.8321,80.577011,23.469891
Jhabua,74.322777,22.530479,75.014427,23.241199
Katni,79.793396,23.302919,80.950569,24.13818
Mandla,79.9459,22.204531,80.999443,23.174589
Mandsaur,74.880173,23.763948,75.925041,24.76553
Morena,77.109383,25.907318,78.535049,26.874371
Narsimhapur,78.436966,22.61791,79.633598,23.255489
Neemuch,74.711937,24.245878,75.60952,25.053793
Panna,79.730927,23.822598,80.669563,25.082069
Raisen,77.357437,22.793119,78.809189,23.748991
Rajgarh,76.201218,23.459782,77.223198,24.285049
Ratlam,74.518303,23.090431,75.689476,23.92074
Rewa,81.03894,24.32378,82.298607,25.195749
Sagar,78.053337,23.172541,79.345467,24.453939
Satna,80.347801,23.968,81.382896,25.195601
Sehore,76.443771,22.562092,78.029289,23.690781
Seoni,79.193703,21.590281,80.284149,22.95726
Shahdol,80.993599,22.64607,81.975082,24.284891
Shajapur,76.111382,23.10906,77.048103,23.72357
Sheopur,76.477783,25.27536,77.661293,26.225073
Shivpuri,77.006607,24.840071,78.46093,25.921511
Sidhi,81.298347,23.8095,82.371033,24.62191
Singrauli,81.86927,23.784231,82.807777,24.706282
Tikamgarh,78.427361,24.44313,79.341988,25.56077
Ujjain,75.134056,22.834011,76.249557,23.76215
Umaria,80.522423,23.19599,81.26162,24.09613
Vidisha,77.255493,23.348763,78.292831,24.353149
West Nimar,75.210297,21.376089,76.237007,22.550581
Ahmadnagar,73.628777,18.330481,75.546013,19.988569
Akola,76.662331,20.279289,77.6175,21.247999
Amravati,76.624527,20.540821,78.446663,21.771441
Aurangabad,74.596397,19.378931,75.894783,20.67219
Bhandara,79.443306,20.639669,80.67379,21.60253
Bid,74.816757,18.50868,76.73587,19.44063
Buldana,75.920647,19.838831,76.827988,21.29125
Chandrapur,78.795982,19.4587,79.989296,20.730461
Dhule,73.857216,20.633461,75.207458,21.634029
Garhchiroli,79.737396,18.675581,80.892159,20.830271
Gondiya,79.791512,20.65176,80.555893,21.634939
Hingoli,76.675262,19.06588,77.490486,20.018511
Jalgaon,74.765587,20.27095,76.397133,21.417101
Jalna,75.590622,19.27784,76.532593,20.647261
Kolhapur,73.698959,15.739311,74.705963,17.178789
Latur,76.200249,17.86832,77.298027,18.83535
Mumbai,72.77597,18.890696,72.98468,19.269217
Nagpur,78.246742,20.58028,79.654732,21.723928
Nanded,76.93203,18.25996,78.367737,19.93104
Nandurbar,73.587517,20.993139,74.776093,22.030998
Nashik,73.259422,19.586361,74.941177,20.866211
Osmanabad,75.288086,17.64187,76.78817,18.697001
Palghar,72.664307,19.83779,73.132751,20.136539
Palghar,72.650696,19.28393,73.515991,20.22658
Parbhani,76.209152,18.748699,77.118233,19.867451
Pune,73.332848,17.89142,75.167107,19.394991
Raigarh,72.811806,17.849319,73.67627,19.134581
Ratnagiri,73.028473,16.49156,73.87471,18.06912
Sangli,73.70266,16.713091,75.681076,17.627941
Satara,73.544777,17.089849,74.909729,18.182661
Sindhudurg,73.310143,15.6046,74.217407,16.661119
Solapur,74.614037,17.112581,76.428726,18.554319
Thane,72.778198,18.99847,73.806053,19.72217
Wardha,78.051262,20.292412,79.218979,21.358311
Washim,76.60553,19.84684,77.687546,20.761141
Yavatmal,77.28257,19.430523,79.145912,20.69746
Bishnupur,93.70961,24.290743,93.894127,24.741953
Chandel,93.74028,23.84273,94.411499,24.64097
Churachandpur,92.973602,23.947168,93.88237,24.712233
Imphal East,93.075386,24.564116,94.146622,25.05501
Imphal West,93.775177,24.55714,93.989113,25.08007
Senapati,93.666313,24.596201,94.494156,25.621641
Tamenglong,93.145706,24.497513,93.95948,25.46559
Thoubal,93.842522,24.241081,94.153961,24.732752
Ukhrul,94.122223,24.489632,94.751007,25.697651
East Garo Hills,90.319481,25.4151,91.029221,25.95216
East Khasi Hills,91.354759,25.122721,92.157028,25.686378
Jaintia Hills,91.983833,25.03182,92.80442,25.753563
North Garo Hills,90.338097,25.77462,90.782974,26.015261
Ri Bhoi,91.342117,25.641188,92.301582,26.11874
South Garo Hills,90.265251,25.14443,90.972008,25.554173
South West Garo Hills,89.821663,25.287031,90.101135,25.590925
South West Khasi Hills,90.876129,25.16589,91.557426,25.489202
West Garo Hills,89.892616,25.199841,90.44104,26.014151
West Khasi Hills,90.749153,25.29237,91.829628,25.859011
Aizawl,92.623833,23.311724,93.211075,24.412901
Champhai,93.00676,23.004629,93.444702,24.086571
Kolasib,92.52977,23.95606,92.903496,24.520849
Lawangtlai,92.504341,21.976837,92.9692,22.762199
Lunglei,92.361099,22.499521,93.16835,23.40663
Mamit,92.259399,23.258329,92.676697,24.253429
Saiha,92.826958,21.94623,93.209259,22.810621
Serchhip,92.688057,23.006451,93.186935,23.61813
Dimapur,93.531494,25.644276,94.012794,25.966021
Kiphire,94.576637,25.593111,95.052528,26.035437
Kohima,93.883438,25.523701,94.289078,26.029381
Longleng,94.670166,26.370926,94.935196,26.801453
Mokokchung,94.29248,26.197418,94.759773,26.76885
Mon,94.782967,26.289017,95.244919,27.04295
Peren,93.331741,25.202051,93.948158,25.71143
Phek,94.19014,25.45536,94.904991,25.847149
Tuensang,94.56517,25.873024,95.185699,26.457504
Wokha,93.954887,25.925381,94.39119,26.56411
Zunheboto,94.216492,25.763411,94.716682,26.2952
Delhi,76.832916,28.408461,77.337738,28.884512
Anugul,84.259659,20.522079,85.388863,21.672812
Balangir,82.679283,20.14274,83.670578,21.065731
Baleshwar,86.352173,21.054913,87.482658,21.97341
Bargarh,82.631836,20.72159,83.907242,21.740158
Bauda,83.565033,20.380541,84.789673,20.89749
Bhadrak,86.268448,20.723019,87.019997,21.232931
Cuttack,84.845039,20.031641,86.278496,20.693041
Debagarh,84.472832,21.128563,85.20945,21.73842
Dhenkanal,85.108696,20.478559,86.028229,21.179911
Gajapati,83.788307,18.74464,84.440643,19.627901
Ganjam,84.125656,18.97496,85.17791,20.27494
Jagatsinghapur,86.00946,19.958611,86.718887,20.39423
Jajapur,85.679169,20.57196,86.62075,21.162552
Jharsuguda,83.419746,21.563021,84.38649,22.034073
Kalahandi,82.519821,19.177111,83.784569,20.44891
Kandhamal,83.488747,19.564053,84.58033,20.689001
Kendrapara,86.245857,20.29295,87.094421,20.792589
Kendujhar,85.180687,21.008142,86.370018,22.1586
Khordha,84.929588,19.66745,86.077049,20.427021
Koraput,82.081413,18.228531,83.411339,19.23349
Malkangiri,81.383003,17.80261,82.440948,18.732691
Mayurbhanj,85.65802,21.26004,87.179817,22.563589
Nabarangapur,81.837303,19.141029,82.84877,20.102251
Nayagarh,84.478607,19.889631,85.451027,20.575171
Nuapada,82.324013,19.98564,82.855293,21.08696
Puri,85.086533,19.461718,86.372658,20.188358
Rayagada,82.871002,18.9013,84.024788,19.96652
Sambalpur,83.793137,20.918892,84.765961,22.185671
Subarnapur,83.442978,20.52309,84.276031,21.174009
Sundargarh,83.532448,21.584551,85.371078,22.528811
Karaikal,79.702873,10.811102,79.854576,10.9891
Mahe,75.22113,11.947916,75.402519,12.14908
Puducherry,79.642342,11.808399,79.837639,12.01926
Yanam,82.174637,16.68972,82.302826,16.75169
Amritsar,74.517281,31.482821,75.391121,32.05188
Barnala,75.246292,30.139841,75.714882,30.6374
Bathinda,74.621857,29.777008,75.367142,30.58215
Faridkot,74.458763,30.367361,75.044998,30.830641
Fatehgarh Sahib,76.06459,30.414631,76.581192,30.915331
Fazilka,73.870888,29.947088,74.454773,30.659452
Firozpur,74.185699,30.53373,75.116318,31.16202
Gurdaspur,74.87455,31.594921,75.584396,32.20472
Hoshiarpur,75.460983,31.135681,76.337906,32.08168
Jalandhar,75.060417,30.97057,75.944099,31.617941
Kapurthala,74.936676,31.12001,75.897217,31.651991
Ludhiana,75.342857,30.562929,76.337349,31.021393
Mansa,75.157837,29.546171,75.765839,30.21199
Moga,74.892258,30.488871,75.409668,31.0975
Muktsar,74.241447,29.90395,74.811348,30.667261
Pathankot,75.313583,32.08168,75.934631,32.576191
Patiala,75.971596,29.7964,76.804855,30.68145
Rupnagar,76.277359,30.74902,76.725479,31.441351
Sahibzada Ajit Singh Nagar,76.502502,30.358381,76.931396,30.942511
Sangrur,75.548126,29.73138,76.191483,30.69017
Shahid Bhagat Singh Nagar,75.77166,30.973593,76.506561,31.28546
Tarn Taran,74.501266,31.084341,75.266266,31.56942
Ajmer,73.905586,25.652321,75.351563,26.98008
Alwar,76.117912,27.060848,77.201576,28.226669
Banswara,73.962471,23.062691,74.775177,23.927023
Baran,76.213997,24.409281,77.417992,25.43667
Barmer,70.094536,24.642929,72.850098,26.507818
Bharatpur,76.873222,26.7125,77.755013,27.821939
Bhilwara,74.012169,25.018223,75.460793,25.96472
Bikaner,71.896301,27.186211,74.187561,29.051041
Bundi,75.261917,25.00028,76.320518,25.886391
Chittaurgarh,74.107101,24.253229,75.818741,25.22031
Churu,73.633232,27.412031,75.665489,29.001581
Dausa,76.152618,26.38172,77.070763,27.23835
Dhaulpur,77.22007,26.36241,78.262238,26.95713
Dungarpur,73.36113,23.335913,74.385231,24.021429
Ganganagar,72.643517,28.711151,74.320152,30.195049
Hanumangarh,73.963058,28.777731,75.516518,29.956261
Jaipur,74.912277,26.443531,76.286568,27.868448
Jaisalmer,69.483734,25.860275,72.341621,28.035543
Jalor,71.197098,24.60417,73.098526,25.807621
Jhalawar,75.455933,23.760569,76.944832,24.876699
Jhunjhunun,75.0205,27.646709,76.092888,28.520861
Jodhpur,71.789398,25.85181,73.871216,27.615419
Karauli,76.446327,26.03639,77.386436,26.966282
Kota,75.620682,24.54381,76.578278,25.847778
Nagaur,73.112579,26.410601,75.363426,27.70821
Pali,72.779503,24.75732,74.399338,26.463329
Pratapgarh,74.296333,23.534052,74.992989,24.510771
Rajsamand,73.474701,24.668291,74.321777,25.86813
Sawai Madhopur,75.976463,25.74321,76.965302,26.65745
Sikar,74.675499,27.12672,76.08979,28.203732
Sirohi,72.250999,24.326323,73.166412,25.286402
Tonk,75.109543,25.681141,76.322357,26.56769
Udaipur,73.009598,23.806919,74.478035,25.10841
East Sikkim,88.436668,27.13735,88.919731,27.422859
North Sikkim,88.113579,27.378401,88.885742,28.130968
South Sikkim,88.260757,27.08161,88.532028,27.52817
West Sikkim,88.016968,27.11171,88.353233,27.614038
Ariyalur,78.922897,10.869491,79.497597,11.40584
Chennai,80.169647,12.951759,80.305969,13.133801
Coimbatore,76.647392,10.208651,77.168991,11.39681
Cuddalore,78.861046,11.13473,79.814026,11.874061
Dharmapuri,77.663712,11.760793,78.734047,12.507221
Dindigul,77.253273,10.007643,78.321243,10.8227
Erode,76.827751,11.01095,77.91848,11.944172
Kancheepuram,79.546623,12.214341,80.26236,13.128912
Kanniyakumari,77.090698,8.076526,77.575142,8.57099
Karur,77.736259,10.53521,78.57135,11.08251
Krishnagiri,77.462952,12.12846,78.659668,12.878371
Madurai,77.448013,9.55308,78.45443,10.29705
Nagappattinam,79.493088,10.272916,79.884033,11.419123
Namakkal,77.67112,10.9997,78.472473,11.582081
Perambalur,78.618111,11.039309,79.154533,11.507031
Pudukkottai,78.433617,9.831251,79.267365,10.719522
Ramanathapuram,78.19693,9.080971,79.530418,9.931611
Salem,77.637978,11.301991,78.830276,11.964242
Sivaganga,78.108887,9.50575,78.99601,10.395011
Thanjavur,78.762161,10.12453,79.557426,11.166262
The Nilgiris,76.225746,11.18021,77.005791,11.698041
